Date,Time
2/22/1994,10:25 PM
7/3/1989,4:01 AM
5/29/1991,6:32 AM
6/28/2005,6:03 PM
11/8/2000,7:35 PM
7/12/1997,2:07 AM
1/1/2014,7:46 PM
2/7/2014,3:57 AM
3/11/2009,3:43 AM
10/6/2005,9:33 PM
9/16/1997,12:10 AM
2/2/1984,10:13 AM
11/9/2011,7:06 AM
12/21/1999,10:33 PM
9/27/1985,1:35 PM
6/14/1988,6:20 PM
11/11/1984,10:30 AM
3/7/2000,6:45 AM
10/25/1999,3:35 PM
10/20/1999,6:23 AM
3/2/1981,7:26 PM
11/10/1996,1:49 PM
9/15/2007,10:16 PM
8/30/2004,11:43 AM
1/13/1988,6:42 AM
6/26/1988,3:54 AM
7/11/2015,8:52 PM
7/5/2007,11:59 AM
7/25/1980,12:22 PM
8/12/1981,12:05 AM
2/6/1993,1:05 PM
4/1/1984,1:21 PM
9/26/1981,2:23 AM
9/8/2009,10:16 AM
9/11/1984,6:37 AM
2/20/1990,11:00 PM
1/18/2002,1:51 AM
4/16/2001,10:09 PM
7/1/1991,2:33 AM
3/31/1996,5:40 PM
9/1/1995,2:09 PM
10/3/2013,8:05 PM
12/18/2013,3:09 PM
8/6/2006,7:52 AM
11/25/1981,3:01 PM
7/8/2008,11:40 PM
3/23/1986,9:26 AM
1/8/2002,6:42 PM
12/16/1990,2:20 AM
12/10/1988,8:27 PM
1/2/2005,1:48 AM
6/18/1997,8:01 PM
1/29/1994,6:48 PM
12/19/1991,2:54 AM
1/27/2010,2:57 AM
3/16/2014,6:24 PM
9/3/1983,1:58 PM
2/13/1987,2:15 PM
6/8/1986,2:25 AM
5/23/2011,4:14 PM
11/18/2014,5:00 AM
1/22/2007,2:37 PM
1/5/2000,5:46 PM
9/27/2005,1:41 AM
11/22/1991,12:57 PM
5/12/2009,2:14 PM
9/19/2007,1:01 AM
10/20/2011,10:09 PM
2/24/2009,2:09 PM
5/12/2009,4:36 AM
11/21/2006,8:30 AM
11/22/1998,3:48 AM
3/31/1988,10:59 PM
8/2/1989,11:21 AM
11/24/2005,11:57 PM
8/31/1995,8:31 PM
12/3/2012,11:03 PM
10/9/2011,9:29 AM
4/22/1997,9:36 PM
11/10/2005,4:56 AM
9/14/2003,10:30 PM
2/1/1990,3:32 PM
8/13/2014,3:51 PM
12/17/2011,3:45 AM
5/22/1994,7:06 AM
9/25/2004,1:30 AM
5/5/2014,6:01 AM
11/9/2009,6:32 AM
4/15/2005,8:43 PM
4/16/2002,11:09 PM
7/19/1983,1:57 AM
1/24/1989,8:38 PM
8/4/1989,6:06 AM
12/17/1982,12:10 PM
10/18/2009,6:32 PM
7/15/2009,10:12 PM
8/27/2003,1:00 PM
2/1/1997,4:20 PM
4/13/1999,10:28 PM
12/31/2006,11:02 PM
7/9/2011,11:31 PM
10/16/2015,2:44 AM
4/9/1987,12:47 PM
10/30/1994,5:46 AM
9/18/2002,12:39 PM
7/15/2001,1:33 PM
8/3/1996,1:50 AM
4/18/1996,3:57 PM
7/28/2010,3:08 PM
12/24/1980,10:58 PM
1/19/2010,8:48 AM
1/15/1995,5:27 AM
10/29/1994,4:26 AM
9/19/1989,7:40 PM
10/28/1984,5:59 PM
4/26/2001,12:22 AM
8/15/1989,9:14 AM
10/27/2010,10:28 AM
12/5/1996,5:45 AM
1/8/1998,2:12 AM
11/25/2001,9:55 PM
7/6/2002,3:57 PM
1/13/2005,9:00 AM
7/29/1992,6:40 PM
6/9/1988,9:29 AM
3/16/2004,8:21 AM
4/16/1996,5:40 AM
11/28/1992,5:05 PM
2/8/1984,4:45 AM
7/20/1990,10:49 PM
3/9/2014,4:39 PM
8/22/2010,8:03 AM
2/23/2002,3:55 AM
12/5/2010,4:20 PM
5/29/1994,6:24 AM
8/14/2012,11:25 AM
6/23/1981,8:26 PM
2/11/2007,2:01 AM
9/14/1992,8:21 AM
8/18/2011,8:12 AM
11/16/1990,6:01 PM
6/29/2008,5:23 AM
8/31/1981,2:51 PM
3/2/1982,12:52 PM
11/5/2013,10:50 PM
5/22/1986,6:30 AM
11/20/1986,6:59 PM
9/24/2005,12:04 PM
11/25/1980,4:33 AM
6/9/2003,7:35 AM
5/2/1986,1:50 AM
3/16/2016,2:45 PM
1/10/1981,1:30 PM
5/13/1999,10:48 AM
5/28/2015,8:40 AM
10/1/2010,11:54 AM
12/16/1999,8:28 PM
3/7/2015,8:45 PM
7/20/2008,1:44 PM
2/7/1995,7:38 AM
12/1/2006,3:32 PM
8/29/2007,6:10 AM
3/18/2001,12:02 AM
11/20/1998,2:54 PM
3/1/2013,9:26 PM
7/22/1990,2:53 PM
5/13/2003,9:47 AM
4/23/1998,5:52 AM
5/8/1987,6:19 PM
5/24/2016,9:17 PM
12/12/2006,1:57 AM
8/16/1994,8:33 AM
5/15/2009,3:52 PM
1/30/1992,3:01 PM
11/30/2005,2:57 AM
8/22/2009,1:03 PM
7/15/2016,12:29 AM
11/17/2012,2:47 PM
12/19/1994,6:19 AM
2/21/1995,12:26 AM
10/24/2000,4:13 AM
2/3/1983,11:38 PM
1/9/2015,4:16 AM
9/30/2007,5:34 PM
3/1/1987,1:00 PM
1/17/2005,9:11 AM
8/9/2001,3:56 AM
4/14/1996,9:17 AM
7/11/2002,9:15 AM
5/13/2005,1:25 AM
10/31/1997,2:43 AM
8/4/2007,1:59 PM
6/19/2002,3:06 AM
6/28/1997,1:48 PM
5/9/2015,7:07 PM
7/20/1993,10:18 PM
3/12/2002,6:32 AM
7/10/1984,7:22 PM
8/20/1992,8:23 PM
8/15/2002,12:01 AM
11/26/1992,12:54 AM
10/25/1996,12:59 PM
8/14/2008,5:43 PM
5/22/2011,10:42 AM
7/4/1997,11:47 AM
3/30/2008,10:54 PM
4/27/2013,6:40 AM
5/3/1995,5:49 AM
4/26/1992,8:01 PM
4/14/2000,3:14 PM
8/15/1997,9:48 PM
4/9/2012,6:36 AM
12/3/2014,9:27 AM
3/11/2007,11:20 AM
7/1/2011,9:50 AM
11/23/2007,1:22 PM
9/9/1989,7:12 PM
1/30/1995,7:51 PM
11/1/2005,11:31 PM
3/21/2002,8:02 AM
5/24/1984,10:54 AM
2/26/2016,7:39 PM
5/5/2013,3:28 PM
6/13/1994,4:21 PM
12/10/1980,11:04 PM
2/1/2003,1:11 PM
2/11/2013,7:07 PM
11/3/1980,2:47 PM
8/3/2015,4:56 PM
6/24/2014,10:05 AM
4/20/1980,1:17 PM
7/14/1995,7:51 AM
11/3/2015,12:11 AM
11/23/1996,7:36 PM
11/4/1984,12:17 PM
4/27/2003,12:04 PM
7/4/1983,7:32 AM
4/6/1993,3:11 AM
11/19/2013,7:29 PM
12/25/1984,10:52 AM
1/8/1999,2:05 AM
4/12/1992,8:26 PM
12/12/1996,10:07 AM
1/19/1995,12:37 AM
2/16/2009,10:38 PM
2/22/2003,9:09 AM
9/25/1981,9:59 AM
8/31/2013,7:24 PM
7/5/1982,4:56 PM
10/13/2014,9:33 PM
8/22/1995,6:58 AM
3/22/2004,8:11 AM
12/2/1993,1:42 PM
8/26/1983,2:48 AM
4/23/2014,7:52 AM
6/13/2014,9:16 AM
5/2/2010,9:10 PM
2/26/2005,6:33 PM
2/11/2014,9:03 PM
1/8/1992,3:50 PM
9/18/1981,5:47 AM
8/26/1982,9:47 AM
9/14/1991,1:08 PM
10/8/2010,9:53 PM
9/6/1999,10:30 AM
12/2/2009,3:30 AM
5/1/1999,3:36 AM
8/1/2004,1:32 PM
4/15/2008,2:34 PM
7/3/2010,5:11 PM
2/4/1999,5:35 PM
9/10/1992,6:50 PM
9/22/1998,7:55 PM
1/2/1984,9:06 PM
2/25/1980,10:50 PM
6/18/1984,3:46 AM
7/18/1985,6:36 AM
9/2/1991,3:41 PM
6/7/2002,7:46 AM
10/25/1985,7:11 AM
10/26/1996,8:09 PM
12/16/2014,4:56 PM
6/1/1994,8:39 AM
8/18/1985,4:34 AM
11/17/1999,9:18 PM
12/3/2009,10:24 AM
9/20/1996,3:45 PM
10/7/1983,1:35 PM
5/2/2002,7:39 PM
3/29/1985,6:57 PM
8/9/2006,11:24 AM
1/8/1995,1:35 PM
4/1/1980,8:04 PM
4/18/1986,9:31 AM
7/7/1980,3:42 AM
8/16/1996,3:09 AM
4/6/1995,10:38 PM
1/13/1996,4:14 PM
12/30/1981,4:51 AM
1/13/2009,1:01 PM
1/22/1995,12:17 AM
7/30/1993,5:35 PM
5/4/2003,4:29 AM
3/17/1982,11:46 PM
10/18/2010,8:45 PM
1/27/1985,8:18 PM
1/28/1990,12:08 AM
11/19/1982,11:25 AM
2/2/1988,6:14 PM
5/30/2012,3:17 AM
4/16/1988,11:09 AM
10/30/2004,4:34 PM
7/23/1982,6:28 AM
5/23/1980,3:19 AM
4/24/1995,7:14 PM
10/30/1994,11:23 AM
4/22/1988,12:01 PM
5/24/1981,11:15 PM
11/23/2000,5:06 AM
4/15/2011,5:02 AM
5/7/1985,10:20 PM
10/3/1984,5:31 AM
6/24/1987,7:37 PM
7/21/2001,2:34 AM
10/11/1990,10:57 PM
12/20/1994,10:09 AM
6/15/1980,6:00 PM
7/21/2003,3:50 PM
10/26/1991,8:11 AM
3/15/2013,11:13 PM
5/20/1982,9:14 AM
2/21/1981,3:30 AM
10/13/1983,11:59 PM
10/24/1993,5:17 PM
2/16/2010,11:29 AM
2/17/2012,12:26 AM
2/16/1981,3:58 AM
10/21/2000,1:15 AM
1/3/1992,3:47 PM
11/12/2004,9:16 PM
8/30/2001,1:24 AM
12/6/1986,2:23 PM
1/14/2001,5:11 AM
11/24/1992,5:43 PM
10/22/1990,2:45 PM
3/7/2012,2:25 AM
8/10/1997,11:00 PM
6/23/2005,11:03 AM
11/29/2006,2:14 PM
11/26/1997,8:22 AM
6/29/2015,6:38 AM
4/13/1997,8:03 AM
11/21/1984,12:30 PM
9/2/1988,12:49 PM
3/12/1983,12:19 PM
7/13/1988,1:48 PM
3/6/2008,1:20 AM
2/23/1990,3:21 PM
11/17/2011,2:37 PM
3/30/1987,5:59 PM
9/27/2000,3:04 AM
7/2/1984,4:06 PM
9/2/2009,1:37 AM
11/12/1996,6:08 PM
8/11/1991,2:15 PM
8/28/2004,10:49 AM
1/25/1995,5:06 AM
3/16/2010,9:17 AM
9/29/1987,10:11 PM
8/13/1996,12:21 AM
3/13/1985,9:19 AM
2/21/2010,7:02 AM
4/6/1988,10:00 AM
11/15/1999,5:22 PM
2/17/2004,5:38 AM
7/5/1986,1:24 AM
11/21/1985,1:40 PM
12/5/2009,5:39 AM
5/28/2006,6:51 AM
12/14/1984,8:49 PM
9/24/2007,11:16 PM
2/9/1982,6:44 PM
3/5/2000,10:33 AM
10/19/1986,9:58 PM
8/27/2009,3:41 PM
12/24/1986,7:02 PM
8/21/1995,2:38 AM
12/19/2000,1:40 AM
8/31/1989,11:10 PM
10/6/2010,10:49 PM
2/13/2013,1:35 PM
2/4/2004,11:02 AM
2/4/2009,2:03 AM
12/5/2001,7:06 AM
3/28/1982,1:05 PM
9/14/2001,3:22 AM
7/12/2000,6:07 PM
11/5/1982,12:41 PM
3/24/1996,11:54 AM
8/28/2012,7:56 PM
10/30/2009,6:56 PM
6/6/1992,10:04 AM
9/20/1994,6:07 PM
4/17/1984,7:12 AM
9/11/2002,7:36 AM
6/17/1992,3:25 AM
11/23/2002,6:10 PM
4/23/2000,6:55 PM
12/20/2005,2:42 PM
1/21/2016,5:07 PM
10/20/1989,9:37 AM
2/18/2011,12:23 PM
12/27/1996,7:07 AM
4/7/2007,10:47 PM
5/8/1980,6:31 AM
1/28/2007,11:10 PM
10/2/2007,2:53 AM
5/15/2007,6:37 PM
10/16/1995,9:19 PM
11/12/2011,12:35 AM
4/6/1999,11:17 AM
5/25/2012,4:40 PM
5/23/1990,2:09 AM
8/2/2002,5:13 AM
5/19/1984,11:47 AM
3/2/2009,9:15 PM
9/16/2005,1:26 AM
3/17/2011,1:12 PM
5/31/2004,3:36 PM
9/7/1991,9:51 AM
9/23/2015,1:36 AM
7/4/1993,6:53 PM
3/7/1998,1:10 AM
1/11/2002,9:17 PM
4/7/1995,4:32 AM
11/27/1997,1:00 AM
1/9/2014,10:09 PM
2/6/2001,4:17 AM
9/28/1994,5:44 AM
7/30/1984,6:02 PM
3/22/1982,7:28 AM
6/15/1993,3:56 AM
4/15/1988,8:16 PM
10/21/2010,11:18 PM
1/29/1999,3:07 AM
4/8/1983,2:01 PM
4/16/2010,5:13 AM
6/27/1997,3:23 PM
9/5/1992,2:32 AM
12/10/2001,6:40 AM
5/19/1991,1:40 PM
2/29/2016,4:04 AM
5/10/2004,1:22 PM
10/8/2008,12:22 AM
9/7/1986,12:32 AM
4/26/2009,12:40 AM
7/16/2001,9:27 AM
5/12/1986,2:04 AM
6/17/2009,1:00 PM
12/18/1994,8:42 PM
11/26/2002,5:32 AM
4/5/2011,1:44 AM
7/23/2011,3:41 AM
10/10/2010,11:12 PM
1/25/1981,10:00 AM
5/9/2009,11:59 AM
7/10/1999,7:02 PM
2/25/2016,6:29 PM
5/30/1980,8:25 PM
7/15/2011,3:38 PM
2/16/2008,2:49 AM
8/19/2004,10:31 AM
6/30/2001,1:46 PM
7/17/1997,11:11 PM
1/25/1986,5:48 AM
2/5/1983,6:39 PM
8/6/1999,3:18 AM
2/23/2007,3:24 AM
6/6/1999,10:54 PM
4/11/2007,1:04 AM
2/19/1984,6:22 AM
10/21/1984,6:26 AM
4/12/1988,11:32 PM
8/18/2007,8:01 AM
9/2/1980,6:52 AM
12/29/2006,3:05 AM
3/31/2015,7:43 PM
11/10/2004,4:33 AM
7/27/2008,12:08 PM
5/2/1988,10:04 PM
4/23/1995,6:35 AM
7/25/1991,12:45 AM
7/12/2008,12:10 PM
3/26/2004,5:41 PM
10/7/2002,3:08 AM
9/22/2006,8:08 PM
5/22/1991,1:39 AM
8/14/2009,5:41 AM
10/24/1986,9:23 AM
6/18/2000,7:36 AM
11/3/1999,9:06 AM
9/30/2004,10:52 PM
4/20/1986,3:55 PM
12/28/2003,4:17 AM
9/8/1984,7:03 PM
7/5/2009,4:55 AM
7/3/1995,10:55 PM
5/6/1986,4:41 PM
4/15/1991,3:39 AM
9/14/1982,8:14 AM
7/24/1982,12:00 AM
9/7/1989,4:17 PM
7/1/2005,3:22 PM
3/31/2012,6:28 AM
7/8/2000,9:19 PM
3/3/1989,2:27 AM
11/4/1982,9:46 PM
4/18/1996,11:57 PM
7/22/1999,9:25 AM
3/1/2004,5:17 PM
10/7/1995,10:16 AM
8/31/1986,6:20 PM
12/31/1982,6:50 PM
10/1/1984,2:06 PM
12/12/1986,12:18 PM
8/5/1989,6:11 PM
4/15/1988,5:18 AM
1/12/1992,1:23 PM
7/28/2012,11:39 AM
3/17/2008,2:12 PM
5/3/1990,9:29 AM
1/29/2008,12:29 AM
11/6/2011,8:32 AM
3/8/1980,5:13 AM
9/27/1995,5:04 PM
2/10/2000,4:48 PM
9/3/1989,11:16 AM
12/13/1994,10:34 AM
2/10/2002,4:44 AM
6/23/2011,12:52 AM
1/18/1986,8:36 PM
3/17/2007,6:20 PM
5/31/2008,8:41 PM
10/3/1980,1:08 AM
12/14/1985,6:55 AM
11/18/1993,12:27 PM
12/27/1980,2:27 AM
2/26/2009,10:17 AM
11/12/2009,2:30 PM
8/18/2014,3:12 AM
12/4/2000,1:20 AM
8/1/1988,1:35 AM
7/16/2014,2:24 AM
7/12/2006,8:55 AM
1/14/2007,2:54 PM
8/31/2002,1:20 AM
1/15/2015,2:41 PM
2/12/2003,3:02 PM
5/28/2010,12:26 PM
2/11/1982,7:54 AM
8/4/2007,5:23 AM
3/17/2004,6:38 AM
5/23/1985,10:16 PM
4/6/2000,3:14 PM
7/25/2001,6:04 AM
8/26/2002,8:53 AM
8/13/2006,6:27 PM
2/7/1998,12:39 PM
2/26/1982,1:03 AM
6/19/1985,1:48 AM
1/3/1981,6:01 PM
9/10/1990,10:42 PM
5/2/1981,12:03 PM
6/5/1984,7:40 AM
9/6/1997,2:02 PM
9/3/1997,10:04 AM
8/19/1996,1:16 AM
11/19/2004,8:47 AM
4/6/2007,10:06 PM
2/10/1985,7:46 PM
10/20/2003,11:09 AM
1/18/2006,6:52 PM
12/8/1993,6:28 PM
4/25/2006,4:51 PM
10/1/2012,2:44 AM
10/7/1984,11:05 AM
3/26/1989,4:15 AM
5/25/1983,10:05 AM
5/15/1984,6:15 AM
11/16/2012,1:47 PM
8/29/1997,4:56 PM
8/25/2004,2:17 AM
6/15/2013,3:00 AM
8/18/2013,3:58 PM
8/3/1995,5:39 AM
11/19/1996,10:40 PM
3/29/2003,10:37 AM
1/18/2015,4:39 PM
5/1/1998,6:05 PM
9/8/1994,4:11 AM
4/11/1998,2:27 PM
9/11/1992,4:41 PM
9/5/1980,7:36 AM
5/25/2003,7:13 PM
5/20/2009,6:26 AM
5/25/2007,3:17 AM
1/28/1980,11:08 PM
11/18/2014,2:47 PM
10/27/1995,3:39 PM
10/17/2003,1:42 PM
10/6/1993,8:52 AM
1/30/2014,9:04 PM
12/5/2009,8:48 AM
10/8/2007,12:32 AM
1/4/2001,3:07 AM
11/24/2015,3:11 AM
8/25/1991,10:37 AM
10/23/1995,12:04 PM
7/27/2013,4:32 PM
11/19/2002,10:40 AM
11/19/1991,6:02 PM
3/10/2010,5:01 PM
2/28/1994,10:10 AM
4/27/2012,2:12 PM
5/21/1992,12:39 AM
6/23/2002,3:18 PM
10/10/1995,4:52 PM
5/23/2001,7:52 PM
7/29/1983,10:48 AM
6/26/1988,5:48 AM
2/9/2013,12:49 AM
5/16/2014,8:31 AM
7/27/1998,11:12 AM
12/17/2009,6:42 AM
8/1/1991,2:25 AM
10/22/2002,1:20 AM
7/7/2010,1:33 PM
12/8/1998,10:28 AM
12/11/2015,4:10 PM
9/28/2001,6:37 AM
1/4/1983,12:34 PM
1/16/1996,7:18 AM
3/13/2008,5:36 PM
4/27/1999,3:41 AM
3/21/2009,11:38 AM
1/2/2002,9:14 PM
6/5/2015,5:40 AM
12/5/2013,8:44 AM
2/28/1991,10:23 PM
11/11/2003,4:53 PM
8/23/2000,4:19 PM
3/1/2004,7:32 AM
3/11/2005,10:56 AM
9/20/1986,6:06 AM
4/27/2001,9:17 PM
9/10/2001,11:57 PM
6/23/2012,12:40 PM
12/23/2008,9:26 AM
7/5/1993,5:54 PM
8/7/1997,12:40 PM
3/23/1996,3:09 AM
3/14/2003,5:23 PM
1/22/1986,7:39 PM
9/9/2006,12:27 PM
7/28/1995,6:53 PM
9/28/1990,9:38 AM
6/26/1997,8:33 AM
11/20/2015,1:15 PM
9/8/2006,11:09 AM
5/10/2006,8:24 AM
4/15/1989,12:44 PM
9/15/1985,1:50 AM
7/30/2012,3:07 PM
3/31/2006,1:24 PM
8/20/2011,8:08 AM
5/21/1983,11:42 AM
9/14/2010,5:19 AM
1/22/2013,3:17 PM
2/25/2012,5:33 AM
1/19/1980,4:06 PM
8/17/2014,11:08 PM
10/17/1986,12:51 AM
2/3/1984,1:26 PM
10/24/1987,4:43 AM
9/19/1992,2:35 AM
10/29/1989,11:34 PM
6/18/1989,9:37 PM
8/21/2013,12:45 AM
9/23/1994,11:15 AM
5/7/1980,8:00 PM
9/25/1989,1:31 AM
8/16/2011,5:19 PM
3/12/2016,3:10 PM
3/27/1995,10:27 PM
2/4/2010,8:49 PM
9/3/1988,8:54 PM
12/30/2002,2:01 AM
7/28/2006,2:49 PM
5/10/2013,11:08 PM
8/30/2011,6:31 PM
4/7/1995,10:05 PM
10/19/1992,5:42 AM
12/4/1995,9:16 AM
1/17/1983,2:23 PM
7/20/2013,6:41 AM
1/26/2013,12:57 AM
1/15/1993,5:19 PM
4/6/1982,10:43 AM
12/23/1982,10:35 PM
10/15/2011,4:53 PM
7/10/1983,8:10 PM
11/26/1982,7:04 AM
12/8/2014,5:08 AM
10/5/2004,9:34 AM
2/10/1991,4:58 PM
7/24/1987,1:35 PM
8/25/2002,5:12 AM
10/16/2011,8:35 AM
5/15/1997,3:53 PM
6/21/2013,5:47 PM
11/23/2014,6:09 AM
1/31/1984,6:30 AM
5/20/2013,12:39 PM
4/20/2013,4:45 PM
